alpha,delta,u,g,r,i,z,redshift,plate,MJD,fiber_ID,y
11.0594434,11.93530448,20.53318,20.37871,20.16658,20.12587,20.13796,0.910454,11042,58462,324,1
12.22289416,11.86715114,22.864,20.99637,20.77479,20.60149,20.42078,-0.000596928,6205,56187,882,2
338.518632,-0.370661907,24.3689,24.89395,23.60455,22.12098,22.23246,0.7347449,9217,57934,519,0
357.1515193,-8.043402272,23.96082,20.7098,19.48951,18.539,17.99627,0.512866,7146,56573,483,0
64.87562501,28.13092251,23.78648,22.61023,19.79689,18.18796,17.0124,0.000103379,1638,52999,440,2
121.1812474,32.19427429,24.59952,21.29358,19.79466,18.96994,18.36362,0.3249989,3756,55505,267,0
343.4616775,24.3003694,22.70525,22.38366,22.10573,22.19179,21.8687,1.3983,7657,57309,10,1
136.5016923,0.981632054,25.72517,22.3239,20.83764,19.82272,19.33796,0.564565,3819,55540,368,0
184.914328,42.41347853,25.10932,23.02978,21.6433,20.57167,19.76941,0.000417114,8383,57518,912,2
187.9734249,42.28881555,23.33354,22.08951,21.85797,22.16238,22.55171,2.188856,8384,57513,886,1
131.9277691,11.69047929,23.13947,21.44235,20.37401,19.22886,18.55112,0.6977692,5287,55952,915,0
206.4610082,7.427089641,20.16308,19.48441,19.33299,19.2896,19.08112,2.369899,4865,55713,821,1
197.5291513,33.15670811,21.25551,21.1894,20.11088,19.40883,19.03537,0.521283,6488,56364,997,0
132.8301979,44.72715755,20.49408,20.2065,20.22691,20.19625,19.82982,2.156938,8281,57042,754,1
153.4476487,56.05904188,22.21266,20.47113,18.82083,18.18008,17.76504,0.3701703,7086,56658,410,0
271.620557,24.81033417,22.25522,20.6308,19.96252,19.69811,19.4611,-0.000608137,2195,54234,442,2
160.0565729,23.00492179,20.64593,19.19186,18.71879,18.54982,18.57035,0.02476665,3250,54883,142,0
125.5937528,13.47743121,24.80904,24.19171,22.57484,19.67837,17.97654,0.000236507,4503,55563,496,2
191.9743154,7.448371765,26.30048,22.7609,20.80001,19.7631,19.23547,0.4799453,4835,56016,785,0
173.3195491,35.88475051,24.42061,20.62309,18.91562,18.34712,18.0602,0.3306466,4615,55618,280,0
2.170252439,16.11295854,23.59629,22.13309,20.78996,19.82567,19.41473,0.4689722,6178,56213,613,0
348.3358147,25.68558112,23.93912,22.92743,21.78178,20.69582,19.83773,0.6862542,7705,57332,35,0
42.04851482,32.46601939,21.8015,18.61152,17.18664,16.54847,16.14959,3.69E-05,3210,54876,173,2
169.4172365,7.719849854,25.08139,22.03635,21.83119,21.71758,21.24758,0.000266039,5369,56272,422,2
243.4989084,4.309791542,21.23949,20.39086,20.35097,20.25421,19.90627,2.290692,4807,55687,940,1
44.37408879,3.017933102,25.76758,22.40062,20.49454,19.55738,19.04092,0.524215,4257,55480,889,0
20.78260526,-6.876952044,22.40024,22.38897,20.59912,19.78579,19.13067,0.5170577,7160,56599,653,0
150.8800311,4.873686683,22.33767,21.74014,20.67626,19.84993,19.52213,0.6578612,4800,55674,775,0
132.8208583,30.87319979,23.83978,22.87262,20.98026,19.61335,18.91918,0.7165546,5185,55978,63,0
140.5503268,34.90216421,21.66945,19.51412,18.1168,17.60705,17.25109,0.2340868,1274,52995,206,0
145.198313,31.36179329,25.01055,25.68188,22.08467,20.87707,19.95657,0.8152969,11378,58437,603,0
141.9489511,35.6620647,22.83775,22.53633,21.14728,20.04436,19.34116,0.625698,10244,58225,721,0
140.6792636,35.04811027,21.29609,19.22355,17.69948,17.08743,16.75041,0.2301247,5810,56358,676,0
11.17152657,12.00731689,20.22819,20.18983,19.53547,19.50299,19.35294,1.319689,11042,58462,282,1
19.03452108,11.65873797,21.27749,20.74533,20.38233,20.25976,19.89784,0.847156,4667,55868,842,1
239.3319454,28.58180886,17.95408,16.60142,15.99984,15.61901,15.42194,0.07876735,1391,52817,505,0
8.348878998,11.94139807,24.67206,22.2909,20.96209,19.79067,19.14412,0.5262727,6195,56220,957,0
22.74684115,11.34387918,24.91774,20.74357,18.8595,18.18621,17.75864,0.3322576,4666,55832,344,0
204.0055161,46.75826518,21.48696,19.95936,19.76283,18.92081,19.5129,0.1754265,6748,56371,271,0
9.913195377,-1.112548439,23.19134,22.69088,21.71342,21.21746,21.42393,0.6868312,9350,58081,876,0
333.1101136,-0.41561229,23.68024,22.93109,22.38346,21.54711,21.80262,0.912237,9237,58022,202,0
185.3537258,-2.58133748,20.71064,20.22823,19.8522,19.59367,19.34152,2.875383,3777,55210,96,1
161.751689,-2.308345565,24.64835,22.00048,21.63793,21.72727,22.06267,3.892739,3786,55563,316,1
253.5217439,19.05752435,21.94553,21.44538,19.54981,18.87251,18.44153,0.3766502,4179,55684,50,0
341.9767943,10.93485171,21.26236,20.68755,20.53071,20.42182,20.13542,2.3171,5050,56215,202,1
182.9413692,54.44562608,22.25055,20.72246,20.20829,19.9893,19.95151,-0.0001067,8214,57867,449,2
332.4965618,19.15757811,25.10085,22.3726,20.71808,19.5564,18.878,0.5577476,5029,55750,623,0
343.7625683,-0.296242798,22.65379,22.52258,21.95554,21.85023,21.03508,1.166883,9152,58041,564,1
27.9236364,11.04438829,24.70554,22.40585,20.81726,19.85176,19.57173,0.4870702,4659,55587,215,0
267.6272771,25.41078112,21.8857,20.22803,19.60719,19.38448,19.24491,-0.000198018,2194,53904,600,2
129.669106,39.08014163,22.75972,22.33138,20.81303,19.78445,19.16647,0.6659987,3764,55514,169,0
335.5467392,22.4328896,24.52573,24.56507,21.85904,20.6003,19.56432,0.6919469,7583,56958,149,0
335.5081821,22.47769393,22.79176,22.59233,21.50218,20.39903,19.68608,0.7572532,7583,56958,193,0
159.7712179,22.90220673,18.18608,18.04931,17.75193,17.73256,17.78253,1.088803,6426,56334,562,1
161.1843151,23.1394412,19.2641,17.77944,17.10706,16.82521,16.66497,-0.000197679,3251,54882,388,2
1.731275974,16.08166307,23.03303,21.09544,19.1943,18.51469,18.01897,0.3878387,6172,56269,979,0
339.6094457,-0.401523854,21.71327,19.96071,18.68786,18.17053,17.76778,0.1645852,1037,52878,180,0
333.3540846,-0.320424236,20.32781,19.06632,18.47048,18.13985,17.89553,0.09479433,1034,52813,185,0
348.9491566,-1.880417751,24.43789,22.70037,21.57567,20.50386,19.82821,0.5762115,9154,58013,207,0
155.3825322,24.20731664,19.28256,17.57086,16.79196,16.39657,16.09448,0.03836939,2346,53734,594,0
157.9167669,24.75035887,18.6783,18.56849,18.28917,18.21018,17.68076,0.3109573,10456,58136,758,1
233.5470394,57.86139907,21.55951,19.98315,18.36173,17.77722,17.37204,0.3526742,615,52347,150,0
218.4943595,3.672961844,27.10127,21.44564,19.76561,18.72035,18.13984,0.5233803,4780,55682,259,0
219.4043344,3.629358574,22.53234,21.49669,19.64375,18.98023,18.57421,0.378709,4779,55656,486,0
8.497824975,15.34199651,23.2733,22.18751,20.6321,19.74818,19.26084,0.4870008,6191,56248,959,0
12.27911585,15.17629618,23.66623,21.46025,19.74733,18.76491,18.23895,0.4779218,419,51879,622,0
40.12550638,3.504013406,23.04723,22.91427,22.99111,22.17126,21.21337,0.9313549,9417,58055,584,0
173.9845106,53.8740478,21.96245,19.88753,18.29062,17.68828,17.34309,0.3390239,1014,52707,51,0
171.7118263,20.49908446,18.92981,17.81624,17.39396,17.10856,16.93358,0.04427182,2498,54169,410,0
13.18660771,11.75612291,22.87967,21.90276,22.01376,21.87333,21.08294,2.370471,6206,56245,282,1
253.2321808,20.18198182,21.94906,19.48184,18.09411,16.86405,16.20561,0.000116481,1568,53169,485,2
146.439282,2.237543307,23.64582,22.5292,21.11902,19.68053,19.12656,0.6780099,4743,55645,493,0
154.9992571,2.519429043,19.75519,18.16221,17.35794,16.94063,16.70611,0.1045373,503,51999,481,0
129.5777165,29.04539998,25.40071,21.92014,19.56422,18.92485,18.5644,0.4664853,4454,55536,800,0
135.6885486,32.36543236,19.77462,18.29778,17.87563,17.65845,17.66204,0.049568,1271,52974,628,0
169.863745,27.79838512,24.98477,21.998,20.30022,18.3646,17.31518,7.99E-05,2216,53795,376,2
216.7386149,3.708190502,26.25848,21.962,20.22898,19.7197,19.31304,0.3630285,584,52049,22,0
222.879539,3.359325321,20.54891,18.77037,17.51467,17.01419,16.62887,0.1833921,588,52045,230,0
6.291804013,15.29240195,24.36881,22.74608,20.75183,19.90575,19.35456,0.5043948,6184,56267,943,0
263.0604632,34.13579959,17.84751,16.52499,15.95014,15.68786,15.5457,-0.000368276,2253,54551,445,2
244.9043201,24.95609665,24.38507,21.25443,19.49255,18.78668,18.41773,0.3778846,4727,55693,4,0
338.7927186,20.33371814,25.72364,23.03721,21.04014,19.72521,18.91054,0.6592138,5025,55836,645,0
181.4076355,54.4684317,20.63578,20.41439,20.31782,20.00517,19.82034,1.69534,8229,57430,166,1
144.8116911,46.92047672,24.45142,21.51859,20.46167,19.93067,19.51852,-0.000186219,7316,56710,755,2
344.1731191,19.13264576,23.33889,21.98714,20.46255,19.46317,18.94339,0.63022,5027,56218,931,0
344.7363945,19.21243647,25.25439,22.75798,21.25602,20.01969,19.5348,0.5368775,6128,56236,557,0
345.4177658,19.3134168,27.15929,22.70051,21.00303,19.87887,19.46968,0.5405381,6128,56236,679,0
2.172225938,16.19665602,21.5802,20.57191,20.3905,20.20049,20.35182,2.89748,6178,56213,578,1
167.6970195,-2.448301392,22.45479,21.62992,21.44386,21.35073,20.83829,0.00046142,3773,55240,70,2
338.7670717,20.22490516,22.55764,23.12675,21.87608,20.6733,19.82829,0.695454,7585,57190,329,0
29.98416518,10.84376415,19.15626,17.8138,16.79765,16.2748,15.88608,0.1403166,4656,55828,123,1
137.2969378,43.66577476,22.79371,22.47182,21.2807,20.13826,19.31719,0.680968,8282,57041,37,0
116.562614,27.52112922,19.75681,18.48689,17.47693,16.9563,16.61813,0.1463097,1059,52618,193,0
136.7230978,43.4895958,19.39632,17.27617,16.17484,15.65449,15.20023,0.119708,831,52294,531,0
119.125577,30.24383019,25.62371,22.70023,21.12361,19.93859,19.25019,0.6291084,3752,55236,159,0
139.0216404,10.84679253,22.92909,22.60838,20.95995,19.55458,18.62085,-0.000137334,5302,55896,39,2
6.92376243,-7.171385604,27.36843,22.43094,20.83237,19.63248,18.86167,0.6554138,7151,56598,855,0
7.422320376,-7.092414458,21.7794,20.64518,18.97875,18.36097,17.95331,0.3134138,7152,56660,608,0
353.0493562,2.058503831,22.59323,22.02358,21.86487,21.92594,22.55944,0.53741,4282,55507,440,1
207.9757918,7.515927906,18.98802,17.92512,17.56229,17.41123,17.41349,-2.13E-05,1805,53875,458,2
164.1158186,23.56505075,20.67499,19.86842,19.77686,19.74236,19.43085,2.308915,6418,56354,382,1
116.0958893,30.45661151,20.16698,20.08098,20.14427,19.85855,19.66567,2.050636,10290,58099,69,1
336.9000742,18.1343554,21.83943,21.77629,20.60705,19.80544,19.55602,0.5490854,5024,55854,243,0
1.450489567,16.18984861,20.56053,18.51112,17.4491,16.99342,16.61498,0.1133807,751,52251,445,0
0.897616927,-8.05245344,24.55362,21.62312,20.58913,19.78403,19.89672,0.6165675,7148,56591,373,0
346.5385253,-1.831567186,22.54264,21.88185,20.5309,19.73092,19.27667,0.4907817,4361,55831,646,0
347.3297384,-1.753196014,22.57449,22.28132,20.28931,19.36939,18.81012,0.4816059,4361,55831,849,0
184.9315004,7.664289815,20.18216,18.35232,17.27345,16.83153,16.47283,0.1373082,1626,53472,319,0
198.6633483,7.316756481,25.32373,22.30239,20.49459,19.5481,18.78767,0.5038501,4840,55690,591,0
336.8458991,19.98816058,22.24721,19.30773,17.92509,17.39431,17.07972,0.2128639,6118,56189,366,0
329.5320046,18.50314166,23.20142,21.65676,20.38945,19.48816,18.9276,-0.000172228,5020,55852,895,2
330.9304162,18.76884312,25.2542,22.60953,21.0792,19.95091,19.54768,0.5991167,5021,55863,333,0
331.0818191,18.82351478,22.64225,20.81143,19.0024,18.40315,17.95367,0.3423518,5028,55836,782,0
345.0282098,21.08373087,21.62115,21.34279,20.16104,18.65479,17.66638,-7.89E-05,6591,56535,363,2
22.82819558,11.479543,21.00585,19.00955,17.46504,16.80119,16.35259,0.2151138,4666,55832,317,0
316.825682,7.865024986,23.53811,23.37748,21.15316,19.82874,19.44676,0.6264167,4079,55363,617,0
40.49767767,3.560160934,23.20226,24.53431,23.82936,22.09652,22.75254,0.5301569,9416,58098,314,0
242.7101015,17.8369965,20.23238,19.24946,19.04356,18.94587,18.91817,-0.000275899,3289,54910,599,2
241.056947,18.48223578,20.32845,19.4245,19.06592,18.87761,18.87157,0.000164848,3289,54910,364,2
160.7244709,25.20411955,22.75712,22.79135,22.28076,21.63456,21.83693,0.8744593,10461,58142,962,0
6.125301287,-1.169407719,24.20276,21.75866,20.16875,19.16595,18.59111,0.5021392,4220,55447,395,0
253.903288,21.64624399,22.23756,22.52513,20.68222,19.46133,18.83153,0.6598983,4178,55653,303,0
136.129033,32.76938051,22.93348,20.57471,18.853,18.21338,17.80852,0.3264136,5809,56353,544,0
341.7962244,20.75688464,22.41543,22.18979,20.56977,19.67478,19.26723,0.4833596,6120,56206,347,0
242.895108,26.35413005,18.45179,16.53581,15.60624,15.17542,14.84507,0.07519736,1393,52824,152,0
254.3174856,18.45263092,19.01066,17.92526,17.26291,16.91928,16.64811,0.03282385,1567,53172,166,0
238.1899641,29.17720376,20.40665,18.22079,17.13235,16.68729,16.34318,0.141691,1391,52817,334,0
179.7502037,-2.673389921,20.85931,19.81905,19.72314,19.69964,19.64133,0.000756407,3776,55209,170,2
189.8541471,-2.636599144,16.58941,15.12915,14.56525,14.38807,14.31969,0.000104294,2897,54585,319,2
241.4590468,27.24533052,18.25378,16.58313,15.89249,15.52189,15.30048,0.04541309,1392,52822,593,0
244.7729047,25.20518652,21.64464,18.87211,17.81801,17.34803,16.99254,0.1109725,1576,53496,139,0
12.27257455,-8.260558093,19.3772,17.42771,16.41689,16.00279,15.66193,0.1137839,7155,56629,418,0
181.0716073,54.33957169,20.51585,20.24112,20.2057,19.90496,19.80293,1.621598,6688,56412,402,1
182.7731945,54.42137895,21.52916,21.66393,21.72251,21.77715,21.13445,2.081617,8214,57867,482,1
338.5802286,20.21664912,22.12341,21.55746,20.58542,19.85185,19.40779,0.6489189,6119,56181,433,0
346.5019246,12.66310264,22.28893,21.60472,21.37432,21.39408,20.87335,2.701146,6154,56237,832,1
327.7840794,9.458564974,23.03421,21.76178,20.05691,18.89577,18.4569,0.573716,4095,55497,487,0
5.24539637,12.04978632,26.19394,23.96235,21.2559,19.88415,19.21673,0.6742269,6190,56210,481,0
338.1475803,-0.243602104,20.14869,19.24574,18.69993,18.42369,18.31868,0.2086649,377,52145,320,0
235.2159434,30.77876451,24.28438,21.98381,20.70392,19.78396,19.39429,0.4861198,4722,55735,839,0
251.0647535,20.79603961,18.27611,17.07667,16.60136,16.33783,16.16579,0.0323952,1569,53168,424,0
232.5869424,32.17321231,19.03692,17.14964,16.19931,15.74957,15.4193,0.09138044,1387,53118,40,0
229.2830273,33.52074333,20.41988,18.59942,17.66353,17.25764,16.90723,0.1115472,1386,53116,484,0
354.438295,32.19565345,19.26509,18.22012,17.82656,17.64138,17.58769,-0.000424118,7760,58080,472,2
132.3677285,40.84110788,22.92736,24.14672,21.71825,20.6274,19.96332,0.6480679,8295,57401,95,0
343.6384881,23.7716558,23.76551,22.51311,20.61219,19.72001,19.1272,0.5773105,6588,56536,397,0
139.420929,44.95587529,25.42519,22.29782,20.52947,19.53461,19.04271,0.5249239,4687,56369,837,0
127.5910367,37.47453409,22.59955,21.02378,19.52688,18.65291,18.18871,0.4159483,3762,55507,826,0
329.9996234,3.726587912,22.99822,22.15485,22.08356,22.02047,22.12553,1.865205,11329,58426,1000,1
211.9374232,48.84434965,24.46953,23.57676,21.76145,20.48442,19.83298,0.6988617,8499,57431,821,0
348.7029987,2.030856673,24.88311,21.48462,19.59986,19.5388,19.68916,4.11414,9174,58070,803,1
5.558010114,-3.102494069,21.45356,20.76791,20.82399,20.85721,20.36657,2.549236,4366,55536,46,1
165.9244452,32.33980136,22.98389,21.95733,20.58774,19.84794,19.55155,0.3395573,6442,56369,69,0
135.7433358,46.41029673,20.77593,19.10901,18.82173,18.6787,18.72135,-0.000324948,5162,55893,996,2
249.6085305,45.77681116,20.03447,19.94801,19.77898,19.72773,19.7445,1.15845,8541,58257,214,1
125.8853125,13.49412713,20.71819,18.03484,16.90619,16.56785,16.35909,2.98E-05,4503,55563,462,2
133.1104174,16.12344683,24.74097,21.81865,21.38399,21.43681,21.35231,0.2184408,11087,58488,324,0
40.29111418,3.586411109,24.7618,23.50528,22.25379,21.97982,21.52896,0.7652147,9417,58055,624,0
24.95262562,2.378935036,23.65257,23.76629,22.90933,22.02259,21.35769,0.7244605,9398,58124,764,0
36.91526376,24.08637177,18.78726,17.12819,16.40216,16.11632,15.97406,-1.31E-05,3241,54884,427,2
217.7677579,3.643497838,25.02263,22.10707,20.36452,19.53686,19.08878,0.494602,4780,55682,417,0
4.617657052,15.38650124,25.22674,22.17591,20.46942,19.55645,19.15983,0.4731573,6184,56267,621,0
345.3192011,26.13304773,21.30888,20.47238,20.39975,20.41795,20.13681,0.694058,6582,56274,135,1
349.7471568,18.53768963,19.23088,17.96239,17.82065,17.78402,17.82338,-0.000110878,7607,56902,299,2
66.51820543,17.12065377,19.05087,16.49607,14.96787,13.62782,12.39726,8.57E-05,1637,52992,492,2
210.841126,7.310204059,21.84786,20.95987,20.85843,20.83487,20.43761,3.86E-05,4863,55688,838,2
24.0073888,18.74291911,22.32961,21.89431,21.73312,21.01897,20.31232,1.711668,7246,56625,64,1
177.892986,54.17634892,19.34375,18.07431,17.60009,17.26951,17.08463,0.05188603,1017,52706,244,0
162.6116843,52.22326714,19.27099,18.12522,17.67884,17.37751,17.24479,0.06552584,1010,52649,102,0
218.5622031,25.4253978,19.51559,18.07312,17.21544,16.7948,16.44413,0.09375799,2135,53827,159,0
331.9915779,18.38928499,21.51034,21.02409,21.08671,21.08473,21.71761,-0.000244433,7572,56944,26,2
43.67258231,3.118984003,24.02046,20.5104,18.75779,18.09334,17.70065,0.3205462,4257,55480,718,0
134.2559804,31.58466408,24.69369,23.80136,21.80155,20.66028,19.84621,0.9987301,10666,58440,793,1
144.8394348,31.19624589,21.74668,22.23314,21.68136,20.96259,20.15859,0.9159158,10445,58158,392,0
145.1552789,31.26454196,21.97341,21.25766,21.89866,21.5234,23.10174,0.7528014,10445,58158,350,0
130.3277566,29.48967494,20.3372,18.24108,17.39116,16.91535,16.60453,0.0838319,1268,52933,629,0
169.394457,27.74662119,19.55769,19.469,19.24376,19.25563,19.37844,1.320359,11357,58522,99,1
171.2128039,27.9994711,25.24017,22.72488,21.18456,19.22162,18.08441,0.000153018,2216,53795,563,2
173.0467607,28.11568152,19.9559,19.75046,20.15038,20.38478,20.89714,-0.000328751,2218,53816,569,2
26.43282911,11.03811648,23.0005,20.61602,18.94409,18.32247,17.85413,0.3265843,4662,55590,96,0
340.769739,20.60637412,26.59091,21.09993,19.23971,18.57262,18.16926,0.3267915,6120,56206,483,0
242.1654629,26.82890873,20.14127,18.32061,17.4176,16.9338,16.60905,0.127938,1393,52824,486,0
341.822557,10.89639827,22.75185,21.70168,21.49237,21.54097,21.07332,2.723905,5055,55889,622,1
346.6500755,21.41942276,20.87844,19.43145,17.96036,17.33367,16.90774,0.2091066,6592,56535,377,0
329.5646293,18.51234295,21.65404,21.56676,20.70138,19.81271,19.68168,4.858816,5020,55852,887,1
267.8727335,25.26388096,18.04481,17.11568,16.75286,16.61002,16.56301,-0.000497024,2183,53536,40,2
118.1620721,29.28229906,23.07223,21.48396,20.34187,19.62424,19.09104,0.5847304,3752,55236,367,0
332.3230115,21.70544125,24.65833,24.68067,22.00761,20.91763,20.02226,0.6350492,7579,56954,343,0
345.4239245,23.96474469,26.33056,21.62988,19.9664,19.04305,18.50551,0.4740704,6588,56536,67,0
